Region,Number of Reservoirs (unit),Capacity of Reservoirs (100 million cum),Area with Flood Prevention Measures (10 000 hectares),Area with Soil Erosion under Control (10 000 hectares)
北京,86,52.1,12.0,901.6
天津,28,26.4,364.6,100.6
河北,1060,206.3,1638.3,5722.2
山西,613,69.8,89.3,7086.5
内蒙古,601,109.7,277.0,14625.0
辽宁,783,370.2,931.7,5553.4
吉林,1580,334.3,1034.0,2594.4
黑龙江,973,267.7,3410.8,5334.1
上海,,,61.2,
江苏,952,35.3,4451.1,940.4
浙江,4278,445.3,557.6,3611.4
安徽,6080,203.8,2436.2,2084.5
福建,3676,170.4,157.3,3895.9
山西,10685,327.9,435.0,6070.5
山东,5932,220.3,3089.8,4277.6
河南,2510,432.9,2149.3,3913.4
湖北,6935,1263.8,1511.5,6270.4
湖南,14047,514.0,441.3,3905.7
广东,8352,455.6,541.9,1858.1
广西,4536,715.8,236.9,2845.5
海南,1105,111.6,25.2,136.8
重庆,3083,126.6,,3722.5
四川,8220,523.2,100.2,10463.6
贵州,2431,445.5,125.2,7321.4
云南,6769,763.1,307.1,10047.7
西藏,122,38.6,3.4,622.6
陕西,1101,93.8,103.4,8039.8
甘肃,387,104.0,15.2,9574.7
青海,198,316.6,0.8,1408.1
宁夏,327,27.8,,2388.1
新疆,662,210.8,22.6,2008.1
,,,,
,,,,
,,,,
